Supplier_Name,Category,Business_Unit,State,Annual_Contract_Value_AUD,Payment_Terms_Days,Auto_Renew,SLA_Compliance_Percent,Incident_Count,Avg_Resolution_Time_Hours,Escalations,Risk_Rating
Telstra Enterprise,Cloud Infrastructure,Technology,NSW,2400000,30,Yes,96,4,6,1,Low
Optus Business,Network Services,Operations,VIC,1800000,45,Yes,92,6,8,2,Medium
Amazon Web Services,Cloud Infrastructure,Technology,NSW,3600000,30,No,98,2,4,0,Low
Microsoft Australia,Software Licensing,All Business Units,NSW,4200000,60,Yes,95,3,5,1,Low
Datacom,IT Services,Technology,VIC,1200000,30,No,88,8,10,3,Medium
DXC Technology,IT Services,Operations,QLD,1500000,45,Yes,90,7,9,2,Medium
CyberCX,Cybersecurity,Risk & Compliance,NSW,900000,30,No,93,5,6,1,Low
Palo Alto Networks,Cybersecurity,Technology,NSW,1300000,60,Yes,97,2,4,0,Low
Oracle Australia,Software Licensing,Finance,VIC,1600000,30,Yes,89,6,9,2,Medium
IBM Australia,IT Services,Technology,NSW,2000000,45,No,91,5,7,1,Low
SAP Australia,Software Licensing,Finance,VIC,1100000,60,Yes,94,3,6,1,Low
NBN Co,Network Services,Operations,QLD,800000,30,No,87,9,12,3,High
ServiceNow ANZ,Software Licensing,Technology,NSW,950000,30,Yes,96,2,5,0,Low
Fortinet Australia,Cybersecurity,Risk & Compliance,VIC,750000,45,No,92,4,7,1,Medium
TPG Telecom,Network Services,Operations,NSW,900000,60,Yes,85,10,14,4,High
Adobe Australia,Software Licensing,Marketing,NSW,600000,30,Yes,97,2,4,0,Low
Atlassian,Software Licensing,Technology,NSW,850000,30,No,95,3,5,0,Low
KPMG Technology Advisory,Consulting,Finance,VIC,500000,30,No,93,3,6,1,Low
Deloitte Cyber,Consulting,Risk & Compliance,NSW,1200000,30,Yes,94,4,6,1,Low
Accenture Australia,IT Services,Operations,VIC,2500000,45,Yes,89,6,8,2,Medium
Infosys Australia,IT Services,Technology,NSW,1700000,60,No,90,7,9,2,Medium
Cisco Systems ANZ,Network Services,Technology,NSW,1400000,30,Yes,96,3,5,0,Low
Equinix Australia,Cloud Infrastructure,Technology,VIC,1300000,30,Yes,97,2,4,0,Low
Macquarie Telecom,Cloud Infrastructure,Operations,NSW,950000,45,No,91,5,8,1,Medium
